CDS Code,County,District Name,Locale Classifications,District Type,2023-24 Student Enrollment,2023-24 % Unduplicated,BP: 7111 Evaluating Existing Buildings,BP 7111 Year Adopted,BP 7111 Year of Policy Update if applicable,BP 7111 Link to Policy,AR: 7111 Evaluating Existing Buildings,AR 7111 Year Adopted,AR 7111 Year of Policy Update if applicable,AR 7111 Link to Policy,School Board Policy Commitments Score (out of 3),Building Electrification,Energy Efficiency,On-Site Renewables,HVAC: AC,Indoor Air Quality,Energy Resilience,Fleet Electrification,EV Chargers for Parking,Water Conservation,Zero Waste Initiative,Schoolyard Forest,School Gardens,District-Wide Curriculum Environmental or Climate Literacy Indicators (up to 3),Overall District Action and Literacy Initiative Indicators (up to 10),Staff Capacity Indicators (up to 4),W/O Policy Environmental and Climate Action Score (17 points),"Plans, Communication, and Awards Indicators (up to 3)",District-Wide Campus Sustainability Indicators (up to 3),District-Wide Environmental Community and Culture Indicators (up to 3),Environmental and Climate Action Score (20 points),BP7111: Path to PDF,BP7111: PDF Text,AR7111: Path to PDF,AR7111: PDF Text
1611190000000,Alameda,Alameda Unified,Suburban,Unified School District,10557,41,0.0,,,,1.0,2009,2009,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030670&revid=fUEAaQwDULd56I0Onag0Rg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,1,1,1.0,1.0,1,1.0,0.0,1,1,0,1,2.0,7.5,1,11.0,2.5,3.0,1.5,14.0,,,Alameda_Unified_AR7111.pdf,regulation 7111 evaluating existing building status adopted original adopted date 08252009 last reviewed date 08252009 superintendent designee shall periodically evaluate adequacy design condition existing district facility determine whether meet need instructional program provide healthful pleasing environment student staff heshe also shall determine whether district facility fulfill legal requirement safety structural soundness access disabled energy conservation addition superintendent designee shall regularly calculate capacity existing school building adequately house district s current student projected enrollment identified need repair modernization construction shall incorporated district s facility planning process structural safety event department general service licensed structural engineer licensed architect find report board education district building unsafe use superintendent designee shall immediately obtain estimate cost repair reconstruction necessary bring building legal standard structural safety board shall establish system priority repair reconstruction replacement unsafe school building education code 17367 relocatable school building structure shall meet requirement education code 1728017317 1736517374 pertaining structural safety however relocatable building meet requirement education code 17280 may used school building september 30 2015 condition specified education code 17292 met board certifies department general service education code 17291 17292 energy efficiency extent service available superintendent designee shall arrange energy audit school building identify type amount work necessary retrofit building obtain estimate projected energy saving district may contract qualified business capable retrofitting building may borrow fund exceed amount energy saving accumulated improvement building education code 1765117653 board policy manual alameda unified school district
1611270000000,Alameda,Albany City Unified,Suburban,Unified School District,3574,37,0.0,,,,1.0,2009,2009,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030672&revid=0MNslshzslsh8hi0MnlV5cSQplusrHg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,1,1,1.0,1.0,1,0.0,0.0,1,1,0,1,1.5,7.0,3,11.5,1.5,3.0,2.0,15.0,,,Albany_Unified_AR7111.pdf,regulation 7111 evaluating existing building status adopted original adopted date 05192009 last revised date 06182024 last reviewed date 06182024 superintendent designee shall periodically evaluate adequacy design condition existing district facility determine whether meet need instructional program provide healthful pleasing environment student staff heshe also shall determine whether district facility fulfill legal requirement safety structural soundness access disabled energy conservation addition superintendent designee shall regularly calculate capacity existing school building adequately house district s current student projected enrollment identified need repair modernization construction shall incorporated district s facility planning process structural safety event department general service licensed structural engineer licensed architect find report governing board district building unsafe use superintendent designee shall immediately obtain estimate cost repair reconstruction necessary bring building legal standard structural safety board shall establish system priority repair reconstruction replacement unsafe school building education code 17367 relocatable school building structure shall meet requirement education code 1728017317 17365 17374 pertaining structural safety education code 17291 energy efficiency extent service available superintendent designee shall arrange energy audit school building identify type amount work necessary retrofit building obtain estimate projected energy saving district may contract qualified business capable retrofitting building may borrow fund exceed amount energy saving accumulated improvement building education code 1765117653 board policy manual albany unified school district
1611500000000,Alameda,Castro Valley Unified,Suburban,Unified School District,9489,43,1.0,2001,2012,https://go.boarddocs.com/ca/castrovalley/Board.nsf/goto?open&id=BZ2ULD7C908E,1.0,2001,2012,https://go.boarddocs.com/ca/castrovalley/Board.nsf/goto?open&id=BZ2ULD7C908E,3.0,1,1,1,1.0,1.0,1,1.0,1.0,1,1,0,1,2.0,6.5,0,7.5,1.0,3.0,1.5,10.5,,,Castro_Valley_Unified_AR7111.pdf,book board policy section 7000 facility title evaluating existing building code 7111 status active adopted august 23 2001 last revised june 28 2012 evaluating existing building adequacy design existing school facility shall evaluated periodically term meeting need instructional program fulfilling requirement law regarding safety structural soundness accessibility individual disability energy conservation primary consideration evaluating existing facility shall preservation healthful environment student staff well providing aesthetically pleasing learning working atmosphere evaluation existing building installation energy conserving device including insulation implementation design modification shall considered permitted law purpose reducing energy cost legal reference education code 17070101707710 leroy f greene school facility act 1998 especially 17071101707140 existing school building capacity 1728017316 building approval 1736517374 fitness occupancy 1765017653 retrofitting school facility energy conservation government code 53097 compliance city county ordinance 530975 inspection school city county code regulation title 2 18591859106 regulation relating leroy f greene school facility act 1998 management resource csba publication maximizing school board governance school facility management web site csba http wwwcsbaorg california department education school facility division http wwwcdecagovlsfa california energy commission bright school program http wwwenergycagovefficiencybrightschools coalition adequate school housing http wwwcashnetorg department general service office public school construction http wwwopscdgscagov 1825 1054 boarddocs plus http goboarddocscomcacastrovalleyboardnsfgoto open idbz2uld7c908e 11
1611760000000,Alameda,Fremont Unified,Suburban,Unified School District,33063,33,1.0,1985,1985,https://go.boarddocs.com/ca/fremont/Board.nsf/goto?open&id=9KYBW57E8DA9,0.0,,,,3.0,1,1,1,1.0,1.0,1,1.0,1.0,1,1,0,1,2.0,7.5,2,11.0,1.5,3.0,2.5,14.0,,,,
1611920000000,Alameda,Hayward Unified,Suburban,Unified School District,20190,82,0.0,,,,1.0,2013,2013,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030212&revid=gspI3Fv7o4dx6erwzZxIkA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,0,1,1.0,1.0,1,0.0,1.0,1,0,0,0,1.5,5.0,0,5.5,0.5,3.0,0.5,8.5,,,Hayward_Unified_AR7111.pdf,regulation 7111 evaluating existing building status adopted original adopted date 02132013 last reviewed date 02132013 superintendent designee shall periodically evaluate adequacy design condition existing district facility determine whether meet need instructional program provide healthful pleasing environment student staff heshe also shall determine whether district facility fulfill legal requirement safety structural soundness access disabled energy conservation addition superintendent designee shall regularly calculate capacity existing school building adequately house district s current student projected enrollment identified need repair modernization construction shall incorporated district s facility planning process structural safety event department general service licensed structural engineer licensed architect find report governing board district building unsafe use superintendent designee shall immediately obtain estimate cost repair reconstruction necessary bring building legal standard structural safety board shall establish system priority repair reconstruction replacement unsafe school building education code 17367 relocatable school building structure shall meet requirement education code 1728017317 1736517374 pertaining structural safety however relocatable building meet requirement education code 17280 may used school building september 30 2015 condition specified education code 17292 met board certifies department general service education code 17291 17292 energy efficiency extent service available superintendent designee shall arrange energy audit school building identify type amount work necessary retrofit building obtain estimate projected energy saving district may contract qualified business capable retrofitting building may borrow fund exceed amount energy saving accumulated improvement building education code 1765117653 board policy manual hayward unified school district
1612000000000,Alameda,Livermore Valley Joint Unified,Urban,Unified School District,13019,27,0.0,,,,1.0,2008,2008,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=OwsISZBlBS12cW5ow1AZOA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,2.5,0,0,1,1.0,1.0,0,0.0,0.0,0,1,0,1,0.5,4.5,2,8.0,1.5,2.5,1.0,11.0,,,Livermore_Valley_Joint_Unified_AR7111.pdf,regulation 7111 evaluating existing building status adopted original adopted date 03042008 last reviewed date 03042008 superintendent designee shall periodically evaluate adequacy design condition existing district facility determine whether meet need instructional program provide healthful pleasing environment student staff heshe also shall determine whether district facility fulfill legal requirement safety structural soundness access disabled energy conservation addition superintendent designee shall regularly calculate capacity existing school building adequately house district s current student projected enrollment identified need repair modernization construction shall incorporated district s facility planning process structural safety event department general service licensed structural engineer licensed architect find report board education district building unsafe use superintendent designee shall immediately obtain estimate cost repair reconstruction necessary bring building legal standard structural safety board shall establish system priority repair reconstruction replacement unsafe school building education code 17367 relocatable school building structure shall meet requirement education code 1728017317 1736517374 pertaining structural safety however relocatable building meet requirement education code 17280 may used school building september 30 2015 condition specified education code 17292 met board certifies department general service education code 17291 17292 energy efficiency extent service available superintendent designee may arrange energy audit school building identify type amount work necessary retrofit building obtain estimate projected energy saving district may contract qualified business capable retrofitting building may borrow fund exceed amount energy saving accumulated improvement building education code 1765117653 board policy manual livermore valley joint unified school district
1612340000000,Alameda,Newark Unified,Suburban,Unified School District,4828,55,1.0,1996,1996,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030599&revid=I8y2R2DYKtslshJyyAGJplusslshA7Q==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,0.0,,,,3.0,0,0,1,1.0,1.0,0,0.0,0.0,0,0,1,1,2.0,5.0,1,7.5,1.5,2.0,1.0,10.5,,,,
1612420000000,Alameda,New Haven Unified,Suburban,Unified School District,10045,61,1.0,2018,2018,https://go.boarddocs.com/ca/nhusd/Board.nsf/Public?open&id=policies#,1.0,2018,2018,https://go.boarddocs.com/ca/nhusd/Board.nsf/files/B9J2XR7B02A4/$file/AR%207111%2012-2018.pdf,3.0,0,1,1,1.0,1.0,0,0.0,0.0,1,0,0,0,1.0,4.5,0,5.0,0.5,2.5,1.0,8.0,,,New_Haven_Unified_AR7111.pdf,new unified school district administrative regulation bp f7111 facility page 1 2 evaluating existing building superintendent designee shall periodically evaluate adequacy design condition existing district facility determine whether meet need instructional program provide healthful pleasing environment student staff heshe also shall determine whether district facility fulfill legal requirement safety structural soundness access disabled energy conservation cf 0410 nondiscrimination district program activity cf 3511 energy water management cf 3514 environmental safety cf 3515 campus security cf 3516 emergency disaster preparedness plan cf 3517 facility inspection addition superintendent designee shall regularly calculate capacity existing school building adequately house district s current student projected enrollment identified need repair modernization construction shall incorporated district s facility planning process cf 7110 facility master plan structural safety event department general service licensed structural engineer licensed architect find report governing board district building unsafe use superintendent designee shall immediately obtain estimate cost repair reconstruction necessary bring building legal standard structural safety board shall establish system priority repair reconstruction replacement unsafe school building education code 17367 relocatable school building structure shall meet requirement education code 1728017317 1736517374 pertaining structural safety energy efficiency extent service available superintendent designee shall arrange energy audit school building identify type amount work necessary retrofit building obtain estimate projected energy saving district may contract qualified business capable retrofitting building may borrow fund exceed amount energy saving accumulated improvement building education code 1765117653 legal reference education code 17070101707710 leroy f greene school facility act 1998 especially 17071101707140 existing school building capacity 1728017316 building approval 1736517374 fitness occupancy 1765017653 retrofitting school facility energy conservation new unified school district administrative regulation bp f7111 facility page 2 2 government code 53097 compliance city county ordinance 530975 inspection school city county code regulation title 2 18591859106 regulation relating leroy f greene school facility act 1998 management resource web site csba http wwwcsbaorg california department education school facility division http wwwcdecagovlsfa california energy commission bright school program http wwwenergycagovefficiencybrightschools coalition adequate school housing http wwwcashnetorg department general service office public school construction http wwwopscdgscagov 122018 escdeptsharesuperintendentsharedboard policy new20187000ar 7111 122018doc
1612750000000,Alameda,Piedmont City Unified,Suburban,Unified School District,2308,4,0.0,,,,1.0,2001,2001,https://docs.google.com/document/d/1ouB3QVLU-emMa6kEJD7fXfx3RyoofDuoVgLCExIpe8Y/edit,3.0,1,0,1,1.0,1.0,1,1.0,1.0,1,0,0,1,1.5,7.5,1,9.5,1.0,3.0,2.5,13.0,,,Piedmont_Unified_AR7111.pdf,piedmont unified school district administrative regulation ar 7111 facility evaluating existing building board shall establish system priority repair reconstruction replacement unsafe school building education code 17367 superintendent designee shall periodically evaluate adequacy design existing district facility determine whether meet need instructional program shall make recommendation necessary board action cf 0410 nondiscrimination district program activity cf 3511 energy water conservation cf 3514 environmental safety cf 7110 facility master plan legal reference education code 17070101707710 leroy f greene school facility act 1998 especially 17071101707140 existing school building capacity 1728017316 building approval 1736517374 fitness occupancy 1765017653 retrofitting school facility energy conservation government code 53097 compliance city county ordinance 530975 inspection school city county code regulation title 2 18591859106 regulation relating leroy f greene school facility act 1998 management resource web site department general service office public school construction http wwwdgscagovopsc regulation piedmont unified school district approved february 14 2001 piedmont california
1612910000000,Alameda,San Leandro Unified,Suburban,Unified School District,8741,79,0.0,,,,1.0,2014,2014,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030423&revid=34mplus9662ULNFUt3aDdJWvg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,1,1,1.0,1.0,1,0.0,0.0,0,1,0,1,2.0,7.0,3,11.0,1.0,3.0,1.5,13.5,,,San_Leandro_Unified_AR7111.pdf,regulation 7111 evaluating existing building status adopted original adopted date 06242014 last reviewed date 06242014 superintendent designee shall periodically evaluate adequacy design condition existing district facility determine whether meet need instructional program provide healthful pleasing environment student staff heshe also shall determine whether district facility fulfill legal requirement safety structural soundness access disabled energy conservation addition superintendent designee shall regularly calculate capacity existing school building adequately house district s current student projected enrollment identified need repair modernization construction shall incorporated district s facility planning process structural safety event department general service licensed structural engineer licensed architect find report board trustee district building unsafe use superintendent designee shall immediately obtain estimate cost repair reconstruction necessary bring building legal standard structural safety board shall establish system priority repair reconstruction replacement unsafe school building education code 17367 relocatable school building structure shall meet requirement education code 1728017317 1736517374 pertaining structural safety however relocatable building meet requirement education code 17280 may used school building september 30 2015 condition specified education code 17292 met board certifies department general service education code 17291 17292 energy efficiency extent service available superintendent designee shall arrange energy audit school building identify type amount work necessary retrofit building obtain estimate projected energy saving district may contract qualified business capable retrofitting building may borrow fund exceed amount energy saving accumulated improvement building education code 1765117653 board policy manual san leandro unified school district
