CDS Code,County,District Name,Locale Classifications,District Type,2023-24 Student Enrollment,2023-24 % Unduplicated,BP: 3511 Energy And Water Management,BP 3511 Year Adopted,BP 3511 Year of Policy Update if applicable,BP 3511 Link to Policy,School Board Policy Commitments Score (out of 3),Building Electrification,Energy Efficiency,On-Site Renewables,HVAC: AC,Indoor Air Quality,Energy Resilience,Fleet Electrification,EV Chargers for Parking,Water Conservation,Zero Waste Initiative,Schoolyard Forest,School Gardens,District-Wide Curriculum Environmental or Climate Literacy Indicators (up to 3),Overall District Action and Literacy Initiative Indicators (up to 10),Staff Capacity Indicators (up to 4),W/O Policy Environmental and Climate Action Score (17 points),"Plans, Communication, and Awards Indicators (up to 3)",District-Wide Campus Sustainability Indicators (up to 3),District-Wide Environmental Community and Culture Indicators (up to 3),Environmental and Climate Action Score (20 points),BP3511: Path to PDF,BP3511: PDF Text
1611190000000,Alameda,Alameda Unified,Suburban,Unified School District,10557,41,1,2009,2019,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030670&revid=QvbYndQxlXNJWc3tdMO3Kg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,1,1,1.0,1.0,1,1.0,0.0,1,1,0,1,2.0,7.5,1,11.0,2.5,3.0,1.5,14.0,Alameda_Unified_BP3511.pdf,policy 3511 energy water management status adopted original adopted date 08252009 last revised date 10172019 last reviewed date 10172019 governing board recognizes environmental financial benefit derived conserving energy water natural resource preparing extreme weather natural event providing environment promotes health wellbeing student staff support district goal energy water management superintendent designee shall develop resource management program may include strategy implementing effective sustainable resource use practice exploring use renewable clean energy technology andor source reducing energy water consumption promoting conservation principle educational program superintendent designee may solicit input staff student parentsguardians regarding district s resource management program superintendent designee shall provide staff student training guidance best practice achieve district s goal may establish reward program recognize outstanding accomplishment superintendent designee shall regularly inspect district facility monitor operation make recommendation maintenance repair may help district reach conservation management goal improve efficiency superintendent designee shall make every effort identify funding opportunity costreducing incentive program help district achieve conservation management goal district may coordinate local regional entity capitalize expertise maximize efficient use resource joint shared use agreement superintendent designee shall regularly report board district s progress meeting conservation resource management goal storm water management maximum extent practicable district shall reduce discharge pollutant water system order minimize threat water quality storm water runoff superintendent designee shall ensure district complies storm water discharge standard specified applicable general permit coverage required law including requirement construction general permit issued state water resource control board project disturbs one acre soil 40 cfr 12234 superintendent designee shall develop storm water management plan complies provision applicable permit describes best management practice design strategy measurable goal timetable implementation plan resolution authorizing implementation shall submitted board approval 40 cfr 12234 project district shall comply city county ordinance regulates drainage improvement condition government code 53097 emergency interruption service superintendent designee shall develop plan minimize disruption educational program event power outage emergency interruption utility service plan shall include action taken facilitate student staff safety administrative control operation protection equipment effective communication coordination local fire police emergency personnel utility service provider board policy manual alameda unified school district
1611270000000,Alameda,Albany City Unified,Suburban,Unified School District,3574,37,1,2009,2009,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030672&revid=3HiYlrDVdeDkiAaiKRC3wA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,1,1,1.0,1.0,1,0.0,0.0,1,1,0,1,1.5,7.0,3,11.5,1.5,3.0,2.0,15.0,Albany_City_Unified_BP3511.pdf,policy 3511 energy water management status adopted original adopted date 05192009 last revised date 06182024 last reviewed date 06182024 governing board recognizes environmental financial benefit derived conserving energy water natural resource preparing extreme weather natural event providing environment promotes health wellbeing student staff support district goal energy water management superintendent designee shall develop resource management program may include strategy implementing effective sustainable resource use practice exploring use renewable clean energy technology andor source reducing energy water consumption promoting conservation principle educational program superintendent designee may solicit input staff student parentsguardians regarding district s resource management program superintendent designee shall provide staff student training guidance best practice achieve district s goal may establish reward program recognize outstanding accomplishment superintendent designee shall regularly inspect district facility monitor operation make recommendation maintenance repair may help district reach conservation management goal improve efficiency superintendent designee shall make every effort identify funding opportunity costreducing incentive program help district achieve conservation management goal district may coordinate local regional entity capitalize expertise maximize efficient use resource joint shared use agreement superintendent designee shall regularly report board district s progress meeting conservation resource management goal emergency interruption service superintendent designee shall develop plan minimize disruption educational program event power outage emergency interruption utility service plan shall include action taken facilitate student staff safety administrative control operation protection equipment effective communication coordination local fire police emergency personnel utility service provider board policy manual albany unified school district
1611500000000,Alameda,Castro Valley Unified,Suburban,Unified School District,9489,43,1,2019,*,https://go.boarddocs.com/ca/castrovalley/Board.nsf/goto?open&id=BZ2TDY76F072,3.0,1,1,1,1.0,1.0,1,1.0,1.0,1,1,0,1,2.0,6.5,0,7.5,1.0,3.0,1.5,10.5,Castro_Valley_Unified_BP3511.pdf,book board policy section 3000 business noninstructional operation title energy water management code 3511 status active adopted june 27 2019 energy water management board education recognizes environmental financial benefit derived conserving energy water natural resource preparing extreme weather natural event providing environment promotes health wellbeing student staff support district goal energy water management superintendent designee shall develop resource management program may include strategy implementing effective sustainable resource use practice exploring use renewable clean energy technology andor source reducing energy water consumption promoting conservation principle educational program cf 0200 goal school district cf 3100 budget cf 3300 expenditure purchase cf 3510 green school operation cf 35111 integrated waste management cf 3512 equipment cf 61425 environmental education superintendent designee may solicit input staff student parentsguardians regarding district s resource management program superintendent designee shall provide staff student training guidance best practice achieving district s goal may establish reward program recognize outstanding accomplishment cf 1150 commendation award superintendent designee shall regularly inspect district facility monitor operation make recommendation maintenance repair may help district reach conservation management goal improve efficiency cf 7110 facility master plan cf 7111 evaluating existing building superintendent designee shall make every effort identify funding opportunity costreducing incentive program help district achieve conservation management goal district may coordinate local regional entity capitalize expertise maximize efficient use resource joint shared use agreement cf 13301 joint use agreement cf 1400 relation governmental agency school superintendent designee shall regularly report board district s progress meeting conservation resource management goal storm water management maximum extent practicable district shall reduce discharge pollutant water system order minimize threat water quality storm water runoff superintendent designee shall ensure district complies storm water discharge standard specified applicable general permit coverage required law including requirement construction general permit issued state water resource control board project disturbs one acre soil 40 cfr 12234 cf 3514 environmental safety cf 35141 hazardous substance cf 35142 integrated pest management superintendent designee shall develop storm water management plan complies provision applicable permit describes best management practice design strategy measurable goal timetable implementation plan resolution authorizing implementation shall submitted board approval 40 cfr 12234 project district shall comply city county ordinance regulates drainage improvement condition government code 53097 emergency interruption service superintendent designee shall develop plan minimize disruption educational program event power outage emergency interruption utility service plan shall include action taken facilitate student staff safety administrative control operation protection equipment effective communication coordination local fire police emergency personnel utility service provider cf 0450 comprehensive safety plan cf 3516 emergency disaster preparedness plan cf 35165 emergency schedule legal reference education code 172131 school site 17280 construction school building 35275 coordination new facility recreation park authority 41422 school term session length failure comply due disaster 46392 emergency condition ada estimate government code 53097 local agency public resource code 2541025421 energy conservation assistance water code 1893 recommendation best design use practice 13383 compliance federal water pollution control act 133835 storm water discharge monitoring requirement code regulation title 23 490495 model water efficient landscape ordinance 2200 discharge permit fee united state code title 33 1342 national pollutant discharge elimination system code federal regulation title 40 122112264 national pollutant discharge elimination system management resource california department education publication guidance stormwater dry weather runoff capture california practice use runoff effectively school december 2018 blueprint environmental literacy educating every student environment 2015 average daily attendance credit period emergency management advisory 9001 rev february 10 2005 california state water resource control board publication guidance design construction vegetated low impact development project 2016 u environmental protection agency publication national management measure control nonpoint source pollution urban area 2005 web site csba http wwwcsbaorg alliance save energy http wwwaseorg california department education facility http wwwcdecagovlsfa california department water resource http watercagov california division state architect http wwwdgscagovdsa california energy commission http wwwenergycagov california state water resource control board http wwwswrcbcagov california stormwater quality association http wwwcasqaorgresources collaborative high performance school chps http chpsnet green school yard america http wwwgreenschoolyardsorg u environmental protection agency http wwwepagov
1611920000000,Alameda,Hayward Unified,Suburban,Unified School District,20190,82,1,2001,2013,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030212&revid=O6u4MRm7ku77mCW3ig8mTg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,0,1,1.0,1.0,1,0.0,1.0,1,0,0,0,1.5,5.0,0,5.5,0.5,3.0,0.5,8.5,Hayward_Unified_BP3511.pdf,policy 3511 energy water management status adopted original adopted date 05142001 last revised date 01302013 last reviewed date 01302013 governing board recognizes importance minimizing district s use natural resource providing highquality environment promotes health productivity effectively managing district s fiscal resource end superintendent designee shall develop resource management program includes strategy implementing effective sustainable resource practice exploring renewable clean energy technology reducing energy minimizing utility cost reducing amount waste consumable material encouraging recycling green procurement practice promoting conservation principle superintendent designee shall regularly inspect district facility operation make recommendation maintenance capital expenditure may help district reach conservation management goal superintendent designee shall make every effort identify funding opportunity costreducing incentive program help district achieve conservation management goal superintendent designee shall periodically report board district s progress meeting conservation management goal board policy manual hayward unified school district
1612340000000,Alameda,Newark Unified,Suburban,Unified School District,4828,55,1,2015,2015,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030599&revid=iNEsipClQ2BpihqeJhNhKA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,0,1,1.0,1.0,0,0.0,0.0,0,0,1,1,2.0,5.0,1,7.5,1.5,2.0,1.0,10.5,Newark_Unified_BP3511.pdf,policy 3511 energy water management status adopted original adopted date 06192015 last reviewed date 06192015 governing board recognizes importance minimizing district s use natural resource providing highquality environment promotes health productivity effectively managing district s fiscal resource end superintendent designee shall develop resource management program includes strategy implementing effective sustainable resource practice exploring renewable clean energy technology reducing energy water consumption minimizing utility cost reducing amount waste consumable material encouraging recycling green procurement practice promoting conservation principle superintendent designee shall regularly inspect district facility operation make recommendation maintenance capital expenditure may help district reach conservation management goal superintendent designee shall make every effort identify funding opportunity costreducing incentive program help district achieve conservation management goal superintendent designee shall periodically report board district s progress meeting conservation management goal superintendent designee shall regularly report board status district s implementation effort 5182023 nusd board approved policy name change energy water conservation energy water management board policy manual newark unified school district
1612420000000,Alameda,New Haven Unified,Suburban,Unified School District,10045,61,1,2019,2020,https://go.boarddocs.com/ca/nhusd/Board.nsf/Public?open&id=policies#,3.0,0,1,1,1.0,1.0,0,0.0,0.0,1,0,0,0,1.0,4.5,0,5.0,0.5,2.5,1.0,8.0,New_Haven_Unified_BP3511.pdf,book board policy section 3000 business title energy water management code 3511 status active adopted april 30 2019 last revised march 10 2020 energy water management governing board recognizes environmental financial benefit derived conserving energy water natural resource preparing extreme weather natural event providing environment promotes health wellbeing student staff support district goal energy water management superintendent designee shall develop resource management program may include strategy implementing effective sustainable resource use practice exploring use renewable clean energy technology source reducing energy water consumption promoting conservation principle education program cf 0200 goal school district cf 3100 budget cf 3300 expenditure purchase cf 3510 green school operation cf 35111 integrated waste management cf 3512 equipment cf 61425 environmental education superintendent designee may solicit input staff student parentsguardians regarding district s resource management program superintendent designee shall provide staff student training guidance best practice achieve district s goal may establish reward program recognize outstanding accomplishment cf 1150 commendation award superintendent designee shall regularly inspect district facility monitor operation make recommendation maintenance repair may help district reach conservation management goal improve efficiency cf 7110 facility master plan cf 7111 evaluating existing building superintendent designee shall make every effort identify funding opportunity costreducing incentive program help district achieve conservation management goal district may coordinate local regional entity capitalize expertise maximize efficient use resource joint shared use agreement cf 13301 joint use agreement cf 1400 relation governmental agency school superintendent designee shall periodically report board district s progress meeting conservation resource management goal storm water management maximum extent practicable district shall reduce discharge pollutant water system order minimize threat water quality storm water runoff superintendent designee shall ensure district complies storm water discharge standard specified applicable general permit coverage required law including requirement construction general permit issued state water resource control board project disturbs one acre soil 40 cfr 12234 cf 3514 environmental safety cf 35141 hazardous substance cf 35142 integrated pest management project district shall comply city county ordinance regulates drainage improvement condition government code 53097 emergency interruption service superintendent designee shall develop plan minimize disruption educational program event power outage emergency interruption utility service plan shall include action taken facilitate student staff safety administrative control operation protection equipment effective communication coordination local fire police emergency personnel utility service provider cf 0450 comprehensive safety plan cf 3516 emergency disaster preparedness plan cf 35165 emergency schedule legal reference education code 172131 school site 17280 construction school building 35275 coordination new facility recreation park authority 41422 school term session length failure comply due disaster 46392 emergency condition ada estimate government code 53097 local agency public resource code 2541025421 energy conservation assistance water code 1893 recommendation best design use practice 13383 compliance federal water pollution control act 133835 storm water discharge monitoring requirement code regulation title 23 490495 model water efficient landscape ordinance 2200 discharge permit fee united state code title 33 1342 national pollutant discharge elimination system code federal regulation title 40 122112264 national pollutant discharge elimination system management resource california department education publication guidance stormwater dry weather runoff capture california practice use runoff effectively school december 2018 blueprint environmental literacy educating every student environment 2015 average daily attendance credit period emergency management advisory 9001 rev february 10 2005 california state water resource control board publication guidance design construction vegetated low impact development project 2016 u environmental protection agency publication national management measure control nonpoint source pollution urban area 2005 web site csba http wwwcsbaorg alliance save energy http wwwaseorg california department education facility http wwwcdecagovlsfa california department water resource http watercagov california division state architect http wwwdgscagovdsa california energy commission http wwwenergycagov california state water resource control board http wwwswrcbcagov california stormwater quality association http wwwcasqaorgresources collaborative high performance school chps http chpsnet green school yard america http wwwgreenschoolyardsorg u environmental protection agency http wwwepagov first reading april 16 2019 february 18 2020 second reading april 30 2019 march 10 2020 ar 3511 052019pdf 45 kb
1612590000000,Alameda,Oakland Unified,Urban,Unified School District,45040,82,1,2004,2004,https://boepublic.ousd.org/Policies.aspx,3.0,1,1,1,1.0,1.0,0,1.0,1.0,1,0,1,1,2.0,6.0,0,7.0,1.0,3.0,1.0,10.0,Oakland_Unified_BP3511.pdf,oakland unified school district board policy bp 3511 business noninstructional operation energy water conservation governing board committed reducing district s demand electricity water order help conserve natural resource save money support district need end board shall establish goal help reduce district s energy water consumption superintendent deputy superintendent business service shall establish energy efficiency program shall include specific strategy designed help district use energy efficiently help ensure fund intended student learning diverted cover energy cost part energy efficiency program superintendent deputy superintendent business service shall develop emergency action plan address action taken event power outage school school operation action plan shall also address role staff student parentsguardians helping conserve resource activity help district meet energy reduction goal cf 3516 emergency disaster preparedness plan cf 35165 emergency schedule superintendent deputy superintendent business service shall analyze effect utility rate increase district s budget heshe shall develop implement necessary contingency plan cf 3100 budget superintendent deputy superintendent business service shall regularly inspect district facility operation make recommendation maintenance capital expenditure may help district reach energy water conservation goal cf 7111 evaluating existing building superintendent deputy superintendent business service shall make every effort identify funding opportunity costreducing incentive program help district achieve conservation goal superintendent deputy superintendent business service shall periodically report board district s progress meeting energy water use reduction goal legal reference education code 41422 school term session length failure comply due disaster 46392 emergency condition ada estimate public resource code 2541025421 energy conservation assistance management resource cde management advisory 011801 california s energy challenge 070690 water conservation advisory 9009 022290 average daily attendance credit period emergency 9001 web site csba http wwwcsbaorg california department education facility division energy challenge http wwwcdecagov facilitiesenergyefficiency california energy commission http wwwenergycagov alliance save energy http wwwaseorg 71404
1612910000000,Alameda,San Leandro Unified,Suburban,Unified School District,8741,79,1,2014,2019,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030423&revid=ZZQXXC3k1UWPqwV3N3fhIA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,1,1,1.0,1.0,1,0.0,0.0,0,1,0,1,2.0,7.0,3,11.0,1.0,3.0,1.5,13.5,San_Leandro_Unified_BP3511.pdf,policy 3511 energy water management status adopted original adopted date 06242014 last revised date 11052019 last reviewed date 11052019 board trustee recognizes environmental financial benefit derived conserving energy water natural resource preparing extreme weather natural event providing environment promotes health wellbeing student staff support district goal energy water management superintendent designee shall develop resource management program may include strategy implementing effective sustainable resource use practice exploring use renewable clean energy technology andor source reducing energy water consumption promoting conservation principle educational program superintendent designee may solicit input staff student parentsguardians regarding district s resource management program superintendent designee shall provide staff student training guidance best practice achieve district s goal may establish reward program recognize outstanding accomplishment superintendent designee shall regularly inspect district facility monitor operation make recommendation maintenance repair may help district reach conservation management goal improve efficiency superintendent designee shall make every effort identify funding opportunity costreducing incentive program help district achieve conservation management goal district may coordinate local regional entity capitalize expertise maximize efficient use resource joint shared use agreement superintendent designee shall regularly report board district s progress meeting conservation resource management goal storm water management maximum extent practicable district shall reduce discharge pollutant water system order minimize threat water quality storm water runoff superintendent designee shall ensure district complies storm water discharge standard specified applicable general permit coverage required law including requirement construction general permit issued state water resource control board project disturbs one acre soil 40 cfr 12234 superintendent designee shall develop storm water management plan complies provision applicable permit describes best management practice design strategy measurable goal timetable implementation plan resolution authorizing implementation shall submitted board approval 40 cfr 12234 project district shall comply city county ordinance regulates drainage improvement condition government code 53097 emergency interruption service superintendent designee shall develop plan minimize disruption educational program event power outage emergency interruption utility service plan shall include action taken facilitate student staff safety administrative control operation protection equipment effective communication coordination local fire police emergency personnel utility service provider board policy manual san leandro unified school district
1613090000000,Alameda,San Lorenzo Unified,Suburban,Unified School District,9235,82,1,2004,2004,https://4.files.edl.io/8790/08/17/23/215737-f25f8b1a-a006-4850-8bc1-2edbff341b55.pdf,3.0,1,1,1,1.0,1.0,1,0.0,0.0,1,1,1,1,2.0,6.5,0,6.5,0.0,3.0,1.5,9.5,San_Lorenzo_Unified_BP3511.pdf,san lorenzo unified school district board policy business noninstructional operation bp 3511 energy water management governing board recognizes environmental financial benefit derived conserving energy water natural resource preparing extreme weather natural event providing environment promotes health wellbeing student staff support district goal energy water management superintendent designee shall develop resource management program may include strategy implementing effective sustainable resource use practice exploring use renewable clean energy technology andor source reducing energy water consumption promoting conservation principle educational program superintendent designee may solicit input staff student parentsguardians regarding district s resource management program superintendent designee shall provide staff student training guidance best practice achieve district s goal may establish reward program recognize outstanding accomplishment superintendent designee shall regularly inspect district facility monitor operation make recommendation maintenance repair may help district reach conservation management goal improve efficiency superintendent designee shall make every effort identify funding opportunity costreducing incentive program help district achieve conservation management goal district may coordinate local regional entity capitalize expertise maximize efficient use resource joint shared use agreement superintendent designee shall regularly report board district s progress meeting conservation resource management goal storm water management maximum extent practicable district shall reduce discharge pollutant water system order minimize threat water quality storm water runoff superintendent designee shall ensure district complies storm water discharge standard specified applicable general permit coverage required law including requirement construction general permit issued state water resource control board project disturbs one acre soil 40 cfr 12234 superintendent designee shall develop storm water management plan complies provision applicable permit describes best management practice design strategy measurable goal timetable implementation plan resolution authorizing implementation shall submitted board approval 40 cfr 12234 project district shall comply city county ordinance regulates drainage improvement condition government code 53097 emergency interruption service superintendent designee shall develop plan minimize disruption educational program event power outage emergency interruption utility service plan shall include action taken facilitate student staff safety administrative control operation protection equipment effective communication coordination local fire police emergency personnel utility service provider board approved march 7 2023
1750930000000,Alameda,Dublin Unified,Suburban,Unified School District,12827,13,1,2022,2022,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030635&revid=plusXjslshMqXBREiR6zdaOpJplusvA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,1,1,1.0,1.0,1,1.0,1.0,1,1,0,1,2.0,6.5,0,7.5,1.0,3.0,1.0,11.0,Dublin_Unified_BP3511.pdf,policy 3511 energy water management status adopted original adopted date 03082022 last reviewed date 03082022 governing board recognizes environmental financial benefit derived conserving energy water natural resource preparing extreme weather natural event providing environment promotes health wellbeing student staff support district goal energy water management superintendent designee shall develop resource management program may include strategy implementing effective sustainable resource use practice exploring use renewable clean energy technology andor source reducing energy water consumption promoting conservation principle educational program superintendent designee may solicit input staff student parentsguardians regarding district s resource management program superintendent designee shall provide staff student training guidance best practice achieve district s goal may establish reward program recognize outstanding accomplishment superintendent designee shall regularly inspect district facility monitor operation make recommendation maintenance repair may help district reach conservation management goal improve efficiency superintendent designee shall make every effort identify funding opportunity costreducing incentive program help district achieve conservation management goal district may coordinate local regional entity capitalize expertise maximize efficient use resource joint shared use agreement superintendent designee shall regularly report board district s progress meeting conservation resource management goal storm water management maximum extent practicable district shall reduce discharge pollutant water system order minimize threat water quality storm water runoff superintendent designee shall ensure district complies storm water discharge standard specified applicable general permit coverage required law including requirement construction general permit issued state water resource control board project disturbs one acre soil 40 cfr 12234 superintendent designee shall develop storm water management plan complies provision applicable permit describes best management practice design strategy measurable goal timetable implementation plan resolution authorizing implementation shall submitted board approval 40 cfr 12234 project district shall comply city county ordinance regulates drainage improvement condition government code 53097 emergency interruption service superintendent designee shall develop plan minimize disruption educational program event power outage emergency interruption utility service plan shall include action taken facilitate student staff safety administrative control operation protection equipment effective communication coordination local fire police emergency personnel utility service provider superintendent designee shall periodically report board district s progress meeting energy water use reduction goal board policy manual dublin unified school district
